"","rusher_player_id","posteam","week","Rushes","RushYD","Rush1D","RushTD","eRushYD","eTDRush","eRush1D","eRushFP","RushFP","RushDiff","eRushFP1D","RushFP1D","RushDiff1D","RushGames","Tar","Rec","AYs","RecYD","Rec1D","RecTD","eRecYD","eTDRec","eRec1D","eRecFP","RecFP","RecDiff","eRecFP1D","RecFP1D","RecDiff1D","RecGames","mergename","pos","TeamRushes","TeamRushYD","TeamRush1D","TeamRushTD","eTeamRushFP","TeamRushFP","eTeamRushFP1D","TeamRushFP1D","TeamTar","TeamRec","TeamAYs","TeamRecYD","TeamRec1D","TeamRecTD","eTeamRecFP","TeamRecFP","eTeamRecFP1D","TeamRecFP1D","eTD","eYD","e1D","eFP","FP","Diff","eFP1D","FP1D","Diff1D","eTeamFP","TeamFP","TeamDiff","eTeamFP1D","TeamFP1D","TeamDiff1D","Games"
"2036","00-0034830","BAL",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,19,32,2,0,24.0294394407705,0.010220206226601,1.1944995646154,5.33774251786652,7.2,1.86225748213348,5.9622670942345,8.2,2.2377329057655,1,"Hayden Hurst","TE",40,138,11,1,25.6548344586132,19.8,31.6068907325372,25.3,28,19,224,161,8,1,47.2170189034185,41.1,50.7716847021019,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8718533620317,60.9,-11.9718533620317,82.3785754346391,70.4,-11.9785754346391,1
"2037","00-0034830","BAL",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,0,0,4.2227177936175,0.019297810655837,0.221815688987884,1.28069860897747,1.4,0.119301391022533,1.41351793638308,1.4,-0.0135179363830826,1,"Hayden Hurst","TE",40,272,15,2,27.9005573346474,39.2,33.8342722477246,46.7,32,21,260,236,11,0,50.42338360349,42.6,55.8918082608446,48.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3239409381374,81.8,3.47605906186264,89.7260805085693,94.8,5.07391949143076,1
"2038","00-0034830","BAL",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,10,10,1,0,11.0450104363269,0.15490665542541,0.807052157369551,3.34978898121903,2,-1.34978898121903,3.79564690326843,2.5,-1.29564690326843,1,"Hayden Hurst","TE",32,202,9,1,20.6646429652563,26.2,24.8225692988829,30.7,20,9,209,143,5,0,33.7976409085035,23.3,37.1490830520309,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4622838737598,49.5,-4.9622838737598,61.9716523509138,56.5,-5.47165235091376,1
"2039","00-0034837","ATL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,79,64,4,1,49.4849452074515,0.347170413283584,2.6367338640431,10.4498466947838,16.4,5.95015330521617,11.8981713998998,18.4,6.50182860010017,1,"Calvin Ridley","WR",17,73,5,0,10.0113668217642,5.3,12.1300924471723,7.8,46,33,362,304,16,2,71.9372077217115,75.4,79.166482611471,83.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9485745434757,80.7,-1.24857454347567,91.2965750586434,91.2,-0.0965750586433813,1
"2040","00-0034837","ATL",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,162,105,6,1,91.9493856439445,0.678615097592797,3.94321884520069,18.5407223479036,24.5,5.9592776520964,20.4943207254522,27.5,7.00567927454784,1,"Calvin Ridley","WR",16,58,3,0,8.31226597080724,5.8,9.79740632649738,7.3,42,27,431,320,15,3,67.8603597857321,77,75.7718639324608,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1726257565394,82.8,6.62737424346064,85.5692702589582,91.8,6.2307297410418,1
"2041","00-0034837","ATL",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,6,1,0,5.40297961581952,0.0287237979301695,0.525866737163466,1.4048748143492,1.6,0.195125185650797,1.75116644242854,2.1,0.348833557571459,1,"Calvin Ridley","WR",19,94,6,0,9.62445541084034,9.4,11.787120348267,12.4,34,29,310,304,17,3,57.9070691848142,77.4,62.4666153588039,85.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5315245956545,86.8,19.2684754043455,74.2537357070709,98.3,24.0462642929291,1
"2042","00-0034837","ATL",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,92,32,1,0,54.1692586751596,0.242259808003451,1.78869658503861,10.2262232646119,6.2,-4.02622326461189,11.0261520687833,6.7,-4.32615206878334,1,"Calvin Ridley","WR",17,58,5,1,11.0965609676612,11.8,13.044235885484,14.3,53,35,494,397,17,0,81.3412729819831,74.7,90.1927170560837,83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4378339496444,86.5,-5.93783394964437,103.236952941568,97.5,-5.73695294156767,1
"2043","00-0034837","ATL",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,141,88,4,1,81.462801524053,0.547955260118345,2.49638400178033,16.2698215710884,19.8,3.53017842891165,17.2880090867954,21.8,4.51199091320458,1,"Calvin Ridley","WR",19,58,5,1,18.2230760790961,11.8,20.9051128063468,14.3,46,32,400,330,14,3,73.3721373069259,83,79.6195692342545,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.595213386022,94.8,3.204786613978,100.524682040601,104.3,3.77531795939866,1
"2044","00-0034837","ATL",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,72,48,3,1,46.6385310631564,0.28643911305803,2.17042715600793,9.94658426983581,14.8,4.85341573016419,11.1029439174631,16.3,5.19705608253692,1,"Calvin Ridley","WR",25,103,7,0,12.1249777751261,10.3,14.8202167854355,13.8,36,30,329,356,20,4,61.2402642276117,89.6,66.6956122655349,99.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3652420027378,99.9,26.5347579972622,81.5158290509704,113.4,31.8841709490296,1
"2045","00-0034837","ATL",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,49,30,2,0,39.7277025781291,0.0686350636902883,2.25283762410678,8.42445189603003,7,-1.42445189603003,9.74596341377663,8,-1.74596341377663,1,"Calvin Ridley","WR",14,39,1,0,7.04070099377637,3.9,8.61839294445993,4.4,33,22,296,224,12,1,50.5925230569241,50.4,56.2345468405847,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6332240507005,54.3,-3.33322405070052,64.8529397850446,60.8,-4.05293978504463,1
"2046","00-0034837","ATL",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,83,70,4,0,55.0259157504146,0.13522196332092,2.3806554050369,10.6296461847417,11,0.370353815258252,11.9292313415534,13,1.07076865844658,1,"Calvin Ridley","WR",17,69,4,1,8.76760915595426,12.9,11.3041331143234,14.9,50,39,400,460,24,1,78.9142897105872,89,86.8519670662415,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6818988665415,101.9,14.2181011334585,98.1561001805649,115.9,17.7438998194351,1
"2047","00-0034860","SF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,7,0,0,5.53624336972117,0.0145934037183378,0.242576396827213,1.33819726972297,1.7,0.361802730277035,1.47967464291356,1.7,0.220325357086437,1,"Dante Pettis","WR",30,100,6,0,14.6281949228859,10,17.7191568260338,13,27,18,174,166,7,1,41.6226983121182,38.6,45.4275466694943,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2508932350041,48.6,-7.65089323500413,63.1467034955282,55.1,-8.04670349552817,1
"2048","00-0034860","SF",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,35,20,2,1,31.8277849170466,0.492015465491271,1.6625695553622,9.22643498404868,12,2.77356501595132,9.95547436007927,13,3.04452563992073,1,"Dante Pettis","WR",39,169,9,2,25.0233184179055,22.9,29.1044109834311,27.4,32,23,296,277,14,1,56.7287445252121,56.7,61.6600035136424,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7520629431176,79.6,-2.15206294311757,90.7644144970736,91.1,0.335585502926449,1
